img,label
D:/study/iris/CASIA-Iris-Thousand\779\R\S5779R00.jpg,779
D:/study/iris/CASIA-Iris-Thousand\341\R\S5341R02.jpg,341
D:/study/iris/CASIA-Iris-Thousand\469\L\S5469L00.jpg,469
D:/study/iris/CASIA-Iris-Thousand\049\R\S5049R02.jpg,49
D:/study/iris/CASIA-Iris-Thousand\319\R\S5319R05.jpg,319
D:/study/iris/CASIA-Iris-Thousand\640\R\S5640R04.jpg,640
D:/study/iris/CASIA-Iris-Thousand\253\R\S5253R04.jpg,253
D:/study/iris/CASIA-Iris-Thousand\562\R\S5562R00.jpg,562
D:/study/iris/CASIA-Iris-Thousand\820\L\S5820L06.jpg,820
D:/study/iris/CASIA-Iris-Thousand\627\R\S5627R04.jpg,627
D:/study/iris/CASIA-Iris-Thousand\519\R\S5519R08.jpg,519
D:/study/iris/CASIA-Iris-Thousand\294\L\S5294L01.jpg,294
D:/study/iris/CASIA-Iris-Thousand\275\L\S5275L00.jpg,275
D:/study/iris/CASIA-Iris-Thousand\655\R\S5655R02.jpg,655
D:/study/iris/CASIA-Iris-Thousand\678\L\S5678L05.jpg,678
D:/study/iris/CASIA-Iris-Thousand\369\R\S5369R00.jpg,369
D:/study/iris/CASIA-Iris-Thousand\948\R\S5948R00.jpg,948
D:/study/iris/CASIA-Iris-Thousand\795\R\S5795R08.jpg,795
D:/study/iris/CASIA-Iris-Thousand\247\L\S5247L00.jpg,247
D:/study/iris/CASIA-Iris-Thousand\449\R\S5449R08.jpg,449
D:/study/iris/CASIA-Iris-Thousand\226\R\S5226R02.jpg,226
D:/study/iris/CASIA-Iris-Thousand\682\R\S5682R06.jpg,682
D:/study/iris/CASIA-Iris-Thousand\332\L\S5332L09.jpg,332
D:/study/iris/CASIA-Iris-Thousand\053\R\S5053R06.jpg,53
D:/study/iris/CASIA-Iris-Thousand\281\L\S5281L07.jpg,281
D:/study/iris/CASIA-Iris-Thousand\347\L\S5347L02.jpg,347
D:/study/iris/CASIA-Iris-Thousand\337\L\S5337L04.jpg,337
D:/study/iris/CASIA-Iris-Thousand\208\R\S5208R02.jpg,208
D:/study/iris/CASIA-Iris-Thousand\863\R\S5863R05.jpg,863
D:/study/iris/CASIA-Iris-Thousand\094\R\S5094R06.jpg,94
D:/study/iris/CASIA-Iris-Thousand\794\L\S5794L05.jpg,794
D:/study/iris/CASIA-Iris-Thousand\482\L\S5482L07.jpg,482
D:/study/iris/CASIA-Iris-Thousand\577\L\S5577L04.jpg,577
D:/study/iris/CASIA-Iris-Thousand\900\L\S5900L06.jpg,900
D:/study/iris/CASIA-Iris-Thousand\856\L\S5856L00.jpg,856
D:/study/iris/CASIA-Iris-Thousand\037\R\S5037R00.jpg,37
D:/study/iris/CASIA-Iris-Thousand\498\R\S5498R02.jpg,498
D:/study/iris/CASIA-Iris-Thousand\444\L\S5444L09.jpg,444
D:/study/iris/CASIA-Iris-Thousand\230\R\S5230R08.jpg,230
D:/study/iris/CASIA-Iris-Thousand\898\L\S5898L03.jpg,898
D:/study/iris/CASIA-Iris-Thousand\840\R\S5840R06.jpg,840
D:/study/iris/CASIA-Iris-Thousand\994\R\S5994R02.jpg,994
D:/study/iris/CASIA-Iris-Thousand\226\L\S5226L05.jpg,226
D:/study/iris/CASIA-Iris-Thousand\758\R\S5758R08.jpg,758
D:/study/iris/CASIA-Iris-Thousand\322\R\S5322R06.jpg,322
D:/study/iris/CASIA-Iris-Thousand\858\L\S5858L06.jpg,858
D:/study/iris/CASIA-Iris-Thousand\597\L\S5597L04.jpg,597
D:/study/iris/CASIA-Iris-Thousand\999\R\S5999R05.jpg,999
D:/study/iris/CASIA-Iris-Thousand\412\R\S5412R01.jpg,412
D:/study/iris/CASIA-Iris-Thousand\802\L\S5802L06.jpg,802
D:/study/iris/CASIA-Iris-Thousand\683\R\S5683R06.jpg,683
D:/study/iris/CASIA-Iris-Thousand\854\R\S5854R08.jpg,854
D:/study/iris/CASIA-Iris-Thousand\468\R\S5468R02.jpg,468
D:/study/iris/CASIA-Iris-Thousand\850\R\S5850R05.jpg,850
D:/study/iris/CASIA-Iris-Thousand\407\R\S5407R09.jpg,407
D:/study/iris/CASIA-Iris-Thousand\352\L\S5352L08.jpg,352
D:/study/iris/CASIA-Iris-Thousand\966\L\S5966L04.jpg,966
D:/study/iris/CASIA-Iris-Thousand\235\L\S5235L00.jpg,235
D:/study/iris/CASIA-Iris-Thousand\705\L\S5705L00.jpg,705
D:/study/iris/CASIA-Iris-Thousand\555\L\S5555L08.jpg,555
D:/study/iris/CASIA-Iris-Thousand\593\R\S5593R03.jpg,593
D:/study/iris/CASIA-Iris-Thousand\258\L\S5258L08.jpg,258
D:/study/iris/CASIA-Iris-Thousand\470\R\S5470R04.jpg,470
D:/study/iris/CASIA-Iris-Thousand\062\R\S5062R03.jpg,62
D:/study/iris/CASIA-Iris-Thousand\907\L\S5907L00.jpg,907
D:/study/iris/CASIA-Iris-Thousand\065\L\S5065L03.jpg,65
D:/study/iris/CASIA-Iris-Thousand\108\R\S5108R06.jpg,108
D:/study/iris/CASIA-Iris-Thousand\615\R\S5615R08.jpg,615
D:/study/iris/CASIA-Iris-Thousand\987\R\S5987R08.jpg,987
D:/study/iris/CASIA-Iris-Thousand\081\R\S5081R04.jpg,81
D:/study/iris/CASIA-Iris-Thousand\975\R\S5975R02.jpg,975
D:/study/iris/CASIA-Iris-Thousand\361\R\S5361R02.jpg,361
D:/study/iris/CASIA-Iris-Thousand\723\R\S5723R09.jpg,723
D:/study/iris/CASIA-Iris-Thousand\804\L\S5804L02.jpg,804
D:/study/iris/CASIA-Iris-Thousand\552\L\S5552L05.jpg,552
D:/study/iris/CASIA-Iris-Thousand\926\R\S5926R04.jpg,926
D:/study/iris/CASIA-Iris-Thousand\650\R\S5650R09.jpg,650
D:/study/iris/CASIA-Iris-Thousand\974\R\S5974R05.jpg,974
D:/study/iris/CASIA-Iris-Thousand\679\R\S5679R09.jpg,679
D:/study/iris/CASIA-Iris-Thousand\984\L\S5984L03.jpg,984
D:/study/iris/CASIA-Iris-Thousand\414\L\S5414L04.jpg,414
D:/study/iris/CASIA-Iris-Thousand\977\L\S5977L08.jpg,977
D:/study/iris/CASIA-Iris-Thousand\643\R\S5643R05.jpg,643
D:/study/iris/CASIA-Iris-Thousand\867\L\S5867L09.jpg,867
D:/study/iris/CASIA-Iris-Thousand\578\R\S5578R01.jpg,578
D:/study/iris/CASIA-Iris-Thousand\249\L\S5249L02.jpg,249
D:/study/iris/CASIA-Iris-Thousand\781\R\S5781R07.jpg,781
D:/study/iris/CASIA-Iris-Thousand\421\R\S5421R01.jpg,421
D:/study/iris/CASIA-Iris-Thousand\918\R\S5918R06.jpg,918
D:/study/iris/CASIA-Iris-Thousand\427\R\S5427R04.jpg,427
D:/study/iris/CASIA-Iris-Thousand\323\R\S5323R08.jpg,323
D:/study/iris/CASIA-Iris-Thousand\646\L\S5646L01.jpg,646
D:/study/iris/CASIA-Iris-Thousand\776\R\S5776R02.jpg,776
D:/study/iris/CASIA-Iris-Thousand\103\R\S5103R08.jpg,103
D:/study/iris/CASIA-Iris-Thousand\920\L\S5920L00.jpg,920
D:/study/iris/CASIA-Iris-Thousand\422\R\S5422R06.jpg,422
D:/study/iris/CASIA-Iris-Thousand\551\L\S5551L01.jpg,551
D:/study/iris/CASIA-Iris-Thousand\845\R\S5845R06.jpg,845
D:/study/iris/CASIA-Iris-Thousand\715\R\S5715R00.jpg,715
D:/study/iris/CASIA-Iris-Thousand\476\R\S5476R06.jpg,476
D:/study/iris/CASIA-Iris-Thousand\345\R\S5345R07.jpg,345
D:/study/iris/CASIA-Iris-Thousand\746\R\S5746R07.jpg,746
D:/study/iris/CASIA-Iris-Thousand\428\L\S5428L05.jpg,428
D:/study/iris/CASIA-Iris-Thousand\955\R\S5955R01.jpg,955
D:/study/iris/CASIA-Iris-Thousand\212\L\S5212L06.jpg,212
D:/study/iris/CASIA-Iris-Thousand\902\R\S5902R04.jpg,902
D:/study/iris/CASIA-Iris-Thousand\189\L\S5189L02.jpg,189
D:/study/iris/CASIA-Iris-Thousand\849\L\S5849L01.jpg,849
D:/study/iris/CASIA-Iris-Thousand\979\L\S5979L04.jpg,979
D:/study/iris/CASIA-Iris-Thousand\540\R\S5540R05.jpg,540
D:/study/iris/CASIA-Iris-Thousand\051\L\S5051L01.jpg,51
D:/study/iris/CASIA-Iris-Thousand\029\R\S5029R09.jpg,29
D:/study/iris/CASIA-Iris-Thousand\523\R\S5523R09.jpg,523
D:/study/iris/CASIA-Iris-Thousand\807\R\S5807R05.jpg,807
D:/study/iris/CASIA-Iris-Thousand\681\R\S5681R00.jpg,681
D:/study/iris/CASIA-Iris-Thousand\254\R\S5254R01.jpg,254
